name,phone,principal_contact,url,street_address,accreditation_status
Progressive Medical Billing,+12107331802,Ms. Leticia A. Cantu,https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942,6655 First Park Ten Blvd Ste 216 ,True
Momentum Billing,+18668756527,,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754,13400 Sabre Springs Pkwy #150,False
Centerline Medical Billing,+18008285133,Mr. Patrick None Mahoney,https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438,,True
Compass Billing,+13037131300,Ms. Ellen E. None Stewart,https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804,5350 Dtc Pkwy Ste 304,False
Matrix Medical Billing,+18888343477,Mr. Christian None Burris,https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964,2135 E. University Drive #120 ,False
Medical Billing Partners,+14024135394,None Taylor None Santos,https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239,,False
Springs Medical Billing,+17194008222,Mrs. Christina None Boyce,https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536,Po Box 64258 ,False
Veracity Medical Billing,+13175203555,None Sharon None Gall,https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513,220 South Elm Street ,False
Midwest Medical Billing,+16145771077,Ms. Kelly None Schaffer Rahe,https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119,6400 E Main St Ste 201 ,False
Specialized Medical Billing,+16144618154,Mrs. Adrianne H. Nittala,https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304,330 E Wilson Bridge Rd Ste 100 ,True
Proclaims Medical Billing,+13862745712,None Michelle None Cavanaugh,https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184,785 W Granada Blvd Ste 5 ,False
Blitz Medical Billing,+18553298220,Ms. Lilian None Garcia,https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873,1701 Legacy Dr Ste 1200 ,True
